service_name,service_prefix
AWS Partner central account management,partnercentral-account-management
AWS Payment Cryptography,payment-cryptography
AWS Payments,payments
AWS Performance Insights,pi
Amazon Personalize,personalize
Amazon Pinpoint,mobiletargeting
Amazon Pinpoint Email Service,ses
Amazon Pinpoint SMS and Voice Service,sms-voice
Amazon Pinpoint SMS Voice V2,sms-voice
Amazon Polly,polly
AWS Price List,pricing
AWS Private CA Connector for Active Directory,pca-connector-ad
AWS Private CA Connector for SCEP,pca-connector-scep
AWS Private Certificate Authority,acm-pca
AWS Proton,proton
AWS Purchase Orders Console,purchase-orders
Amazon Q,q
Amazon Q Business,qbusiness
Amazon Q Business Q Apps,qapps
Amazon Q in Connect,wisdom
Amazon QLDB,qldb
Amazon QuickSight,quicksight
Amazon RDS,rds
Amazon RDS Data API,rds-data
Amazon RDS IAM Authentication,rds-db
AWS re:Post Private,repostspace
AWS Recycle Bin,rbin
Amazon Redshift,redshift
Amazon Redshift Data API,redshift-data
Amazon Redshift Serverless,redshift-serverless
Amazon Rekognition,rekognition
AWS Resilience Hub,resiliencehub
AWS Resource Access Manager (RAM),ram
AWS Resource Explorer,resource-explorer-2
Amazon Resource Group Tagging API,tag
AWS Resource Groups,resource-groups
Amazon RHEL Knowledgebase Portal,rhelkb
AWS RoboMaker,robomaker
Amazon Route 53,route53
Amazon Route 53 Application Recovery Controller - Zonal Shift,arc-zonal-shift
Amazon Route 53 Domains,route53domains
Amazon Route 53 Profiles enables sharing DNS settings with VPCs,route53profiles
Amazon Route 53 Recovery Cluster,route53-recovery-cluster
Amazon Route 53 Recovery Controls,route53-recovery-control-config
Amazon Route 53 Recovery Readiness,route53-recovery-readiness
Amazon Route 53 Resolver,route53resolver
Amazon S3,s3
Amazon S3 Express,s3express
Amazon S3 Glacier,glacier
Amazon S3 Object Lambda,s3-object-lambda
Amazon S3 on Outposts,s3-outposts
Amazon SageMaker,sagemaker
Amazon SageMaker geospatial capabilities,sagemaker-geospatial
Amazon SageMaker Ground Truth Synthetic,sagemaker-groundtruth-synthetic
Amazon SageMaker with MLflow,sagemaker-mlflow
AWS Savings Plans,savingsplans
AWS Secrets Manager,secretsmanager
AWS Security Hub,securityhub
Amazon Security Lake,securitylake
AWS Security Token Service,sts
AWS Server Migration Service,sms
AWS Serverless Application Repository,serverlessrepo
AWS Service Catalog,servicecatalog
AWS service providing managed private networks,private-networks
Service Quotas,servicequotas
Amazon SES,ses
AWS Shield,shield
AWS Signer,signer
AWS Signin,signin
Amazon Simple Email Service - Mail Manager,ses
Amazon Simple Email Service v2,ses
Amazon Simple Workflow Service,swf
Amazon SimpleDB,sdb
